area_sqft,bedrooms,bathrooms,age_years,parking,distance_to_center_km,location,furnishing,price_lakhs
1530.0,3,4.0,13,1,12.2,IT Corridor,Unfurnished,80.96
450.0,1,2.0,23,0,2.9,City Center,Unfurnished,31.26
773.0,2,3.0,13,2,9.5,City Center,Semi-Furnished,64.74
2064.0,3,3.0,27,2,8.5,Outskirts,Semi-Furnished,70.53
929.0,1,1.0,29,0,6.9,Suburb,Unfurnished,34.0
1665.0,4,4.0,10,2,0.5,City Center,Unfurnished,145.74
1369.0,3,2.0,13,3,24.0,Rural,Semi-Furnished,44.32
878.0,1,1.0,11,2,2.3,City Center,Unfurnished,71.75
1226.0,3,4.0,23,1,14.3,City Center,Fully-Furnished,82.23
1143.0,2,2.0,7,1,10.0,Suburb,Unfurnished,59.83
1156.0,1,1.0,1,0,14.3,Suburb,Unfurnished,1800.32
1777.0,2,3.0,28,0,18.8,Outskirts,Semi-Furnished,48.86
1726.0,2,2.0,19,3,13.7,Outskirts,Unfurnished,62.99
1111.0,2,2.0,28,2,10.4,Suburb,Fully-Furnished,51.14
946.0,2,3.0,28,3,13.9,,Fully-Furnished,50.78
,3,4.0,13,0,12.5,,Fully-Furnished,84.03
1350.0,3,3.0,12,2,8.6,Coastal,Fully-Furnished,106.17
1914.0,4,5.0,12,3,4.5,City Center,Unfurnished,142.15
2728.0,4,5.0,17,0,7.5,IT Corridor,Unfurnished,145.49
1821.0,3,3.0,4,0,5.6,Coastal,Semi-Furnished,129.03
1383.0,2,1.0,6,2,16.0,Outskirts,Semi-Furnished,60.49
1314.0,2,3.0,30,3,16.6,Outskirts,Semi-Furnished,44.96
972.0,2,2.0,27,3,9.2,IT Corridor,,51.04
947.0,2,3.0,20,1,24.0,Rural,Semi-Furnished,24.23
898.0,2,3.0,24,1,24.6,Rural,,25.35
1202.0,2,3.0,29,3,8.5,Suburb,Fully-Furnished,53.04
1186.0,2,3.0,0,2,11.0,Suburb,Semi-Furnished,73.15
1772.0,5,4.0,19,0,8.3,Coastal,Fully-Furnished,121.73
1201.0,2,3.0,24,0,12.5,IT Corridor,Unfurnished,47.92
1301.0,2,1.0,15,0,4.8,Suburb,Unfurnished,51.5
791.0,2,3.0,18,3,5.8,Suburb,Semi-Furnished,48.38
2222.0,5,5.0,23,2,15.9,Outskirts,Fully-Furnished,87.6
1653.0,4,5.0,24,3,20.2,Rural,Unfurnished,46.65
2294.0,4,3.0,27,3,15.8,Outskirts,Unfurnished,72.54
1798.0,4,3.0,2,2,10.0,IT Corridor,Unfurnished,121.9
2145.0,4,5.0,26,1,12.5,Outskirts,Unfurnished,69.57
1276.0,2,1.0,8,1,10.9,,Fully-Furnished,75.25
1759.0,3,3.0,10,1,22.9,Rural,Unfurnished,46.22
2753.0,5,6.0,19,2,0.5,City Center,Fully-Furnished,180.12
788.0,2,3.0,15,2,12.9,,Fully-Furnished,39.2
1988.0,4,3.0,19,1,15.1,Outskirts,,69.61
2249.0,4,3.0,29,1,11.1,City Center,Fully-Furnished,121.33
-1.0,4,4.0,25,3,2.6,,Unfurnished,72.95
1783.0,4,4.0,15,1,2.9,City Center,Unfurnished,124.4
2040.0,5,6.0,23,0,11.2,IT Corridor,,95.94
1065.0,1,2.0,24,2,14.8,IT Corridor,Unfurnished,54.68
1609.0,2,1.0,24,0,23.8,Rural,Fully-Furnished,34.04
956.0,2,3.0,16,1,1.6,Suburb,Unfurnished,44.14
1054.0,1,1.0,12,1,12.9,Suburb,Semi-Furnished,47.69
1084.0,2,2.0,25,0,0.5,City Center,Unfurnished,66.53
,3,2.0,7,2,8.8,Suburb,Semi-Furnished,84.63
1475.0,3,3.0,2,3,7.9,IT Corridor,Semi-Furnished,106.23
1632.0,3,3.0,1,0,21.7,Rural,Semi-Furnished,51.58
,2,2.0,0,0,7.5,Suburb,Unfurnished,39.22
2413.0,3,3.0,17,1,11.5,Suburb,Unfurnished,86.55
1992.0,5,5.0,2,3,17.4,Outskirts,Unfurnished,90.11
1772.0,5,5.0,28,3,1.2,City Center,,108.51
1217.0,2,2.0,13,3,10.4,Suburb,Fully-Furnished,61.36
1354.0,3,2.0,0,1,6.8,Coastal,Fully-Furnished,99.2
1681.0,4,5.0,11,1,12.3,IT Corridor,Unfurnished,112.21
1611.0,4,3.0,25,0,12.4,IT Corridor,Fully-Furnished,72.35
,1,2.0,29,3,13.8,IT Corridor,Semi-Furnished,33.13
1780.0,4,4.0,20,2,10.1,IT Corridor,Unfurnished,103.3
2894.0,6,5.0,30,0,14.5,Outskirts,Unfurnished,83.6
,1,2.0,9,2,9.6,Suburb,Fully-Furnished,30.29
1910.0,4,5.0,4,2,15.2,Outskirts,Unfurnished,79.69
1589.0,4,3.0,26,0,6.5,Suburb,Fully-Furnished,66.13
1343.0,2,3.0,25,1,30.1,Rural,Semi-Furnished,31.13
2104.0,4,4.0,16,2,6.5,Coastal,Fully-Furnished,144.51
