study_hours,attendance,previous_score,sleep_hours,assignments_completed,parental_support,extra_classes,final_marks
5.1,84.2,42.2,6.8,3,Low,No,40.6
2.4,71.1,54.7,7.3,7,Medium,No,33.6
6.0,93.3,68.3,6.5,6,High,No,63.3
6.4,70.5,60.5,6.3,7,Low,No,44.1
0.6,70.4,52.2,6.9,2,High,No,37.8
1.9,150.0,51.9,4.7,7,High,No,31.1
4.8,87.2,51.3,7.3,3,High,No,43.0
3.9,83.4,48.8,6.8,8,Medium,No,46.3
4.5,57.8,96.2,6.8,8,Medium,Yes,66.4
2.8,84.5,66.5,7.9,6,Medium,Yes,49.7
6.3,65.6,75.3,4.7,10,Medium,No,59.2
6.1,80.8,54.7,4.6,5,High,No,50.7
4.6,60.9,59.2,7.1,0,Low,No,31.5
6.8,,51.3,6.8,6,Medium,No,50.5
5.4,68.3,22.2,7.0,8,Low,No,29.8
2.8,62.6,41.3,6.3,1,High,No,25.1
5.2,86.6,34.8,7.5,1,Medium,Yes,43.1
2.6,80.9,28.3,7.8,3,Medium,Yes,26.9
6.3,,44.1,7.3,9,High,No,54.3
4.4,95.4,81.9,6.5,5,High,No,52.9
45.0,72.7,61.3,4.5,10,Low,Yes,46.6
3.1,78.4,81.4,7.6,9,High,No,54.1
6.9,,68.2,8.1,6,High,Yes,70.8
4.2,70.6,73.7,7.5,7,Low,No,49.5
3.6,83.7,48.5,5.8,3,High,No,46.3
3.8,71.6,69.9,7.5,0,Medium,No,39.0
5.6,73.1,72.9,7.7,4,Medium,No,53.5
5.2,94.4,53.4,8.5,6,Medium,Yes,49.3
5.3,65.5,70.4,5.8,2,Medium,No,44.2
5.4,49.0,70.5,6.6,2,Low,Yes,42.2
8.8,97.3,53.8,7.6,0,Low,No,51.7
3.7,100.0,45.2,6.9,8,Low,Yes,39.3
3.5,73.1,44.2,5.6,9,Medium,Yes,35.0
2.9,54.8,63.3,7.3,9,Medium,No,31.7
5.7,74.3,66.9,7.4,4,Low,No,43.7
